,DEP,Actifs
0,59,1591350
1,75,1516638
2,13,1222504
3,69,1104335
4,92,1017009
5,93,974575
6,33,951664
7,62,885887
8,78,867339
9,94,859871
10,77,851567
11,31,832468
12,44,823812
13,91,773385
14,76,764546
15,38,752488
16,95,744613
17,67,696143
18,34,679479
19,06,654188
20,57,649012
21,35,622643
22,83,621675
23,29,544435
24,60,495099
25,74,489861
26,49,476625
27,68,467417
28,42,448088
29,54,447279
30,56,440764
31,30,440160
32,14,411741
33,45,402230
34,64,401097
35,63,395490
36,85,394143
37,17,378781
38,01,377026
39,37,362390
40,27,356547
41,51,347568
42,22,347071
43,80,345125
44,72,334016
45,84,333561
46,71,326136
47,21,321896
48,25,321372
49,02,320971
50,26,297170
51,50,293686
52,66,273268
53,73,259778
54,86,257980
55,28,257799
56,24,244245
57,40,241126
58,87,227035
59,81,223818
60,88,222375
61,79,220344
62,11,214507
63,16,210639
64,03,199935
65,89,198050
66,41,193996
67,47,193901
68,07,190019
69,18,183470
70,10,182205
71,53,177052
72,08,167857
73,61,164017
74,12,161282
75,39,152192
76,82,147855
77,70,140798
78,19,140111
79,43,134560
80,65,132817
81,36,131041
82,58,124723
83,55,112009
84,32,109480
85,52,106019
86,2B,103892
87,46,100188
88,04,95287
89,2A,92208
90,09,89247
91,90,87034
92,15,86108
93,05,82789
94,23,69281
95,48,43693
