DEP,Actifs,SumMG,Nb_pop_var,loyerm2,indus,const,InfoComm,STServAdmi,AutreServ,TOT
59,1591350,1896.0,2525,10.19,8463,15263,5144,24178,12352,141321
13,1222504,1527.0,7783,13.42,9479,22791,6258,34608,14192,186748
75,1516638,3106.0,-10866,31.0,16971,30171,44963,161429,28953,490838
69,1104335,1913.0,15726,10.23,8775,17667,7356,37971,11266,164038
93,974575,1170.0,15378,17.11,5466,28329,6850,21774,7611,137443
92,1017009,2584.0,4699,21.37,5128,11741,15590,45981,9787,159466
62,885887,868.0,0,9.43,4156,8384,1071,8256,6580,63258
33,951664,1098.0,19227,9.69,6985,18424,4595,25416,12080,138027
78,867339,1060.0,4148,14.81,3955,11670,6909,25912,7759,105217
77,851567,918.0,9359,12.64,4651,13843,3750,15658,7934,89309
44,823812,1269.0,15684,9.58,6160,11325,3664,18235,7899,93610
94,859871,1112.0,8013,18.2,3683,12952,7009,22758,7429,103531
91,773385,981.0,7368,14.38,3537,12873,4509,16477,6638,84748
76,764546,938.0,0,9.84,3963,7787,1628,9988,5949,62846
38,752488,934.0,6014,10.04,6236,13648,2915,15931,7606,91909
31,832468,1122.0,16604,9.23,5298,14198,4135,21013,8809,106962
95,744613,776.0,9405,14.74,3813,13961,4362,15909,5926,87021
06,654188,664.0,2104,12.88,5865,20968,4380,26931,11306,140487
34,679479,607.0,12866,10.17,6535,17040,3680,18961,9389,112448
83,621675,460.0,8050,11.82,5491,17482,2049,17258,9239,105160
67,696143,884.0,5369,10.06,5340,9309,2496,13766,6274,76599
35,622643,885.0,9918,8.09,4398,6880,2343,11727,5316,63458
57,649012,637.0,0,8.98,3715,8327,1181,7243,5468,53991
29,544435,548.0,1742,8.28,3961,6690,1160,7180,4423,49390
49,476625,643.0,3105,7.87,3726,5502,1080,7145,4118,43722
60,495099,560.0,2348,11.19,2753,6195,1208,7059,4072,42648
42,448088,525.0,1460,7.6,4050,6865,1029,6795,4015,47704
56,440764,455.0,3569,8.26,3831,6417,1119,7326,4307,47579
30,440160,350.0,2133,9.6,3965,9939,1319,8704,5393,59099
74,489861,502.0,9111,13.9,4012,9406,1675,11432,6749,69837
68,467417,498.0,1465,10.36,3314,5577,931,7039,4232,44197
54,447279,450.0,700,8.61,2656,5101,1122,5538,3594,37596
14,411741,477.0,659,9.69,2825,5911,1167,6930,4315,43898
45,402230,538.0,2586,9.38,2343,5426,1043,5989,3697,36453
85,394143,515.0,4456,8.65,3710,5871,716,5783,3826,40063
64,401097,425.0,3193,8.82,3831,7244,1368,9090,5063,55424
17,378781,300.0,3056,8.85,3592,7402,1100,7021,4636,49354
22,347071,345.0,572,7.69,2715,5005,786,5050,3004,34149
01,377026,451.0,5403,9.68,3395,6058,830,6226,3707,39101
63,395490,424.0,3071,8.06,3232,6078,1043,6130,3899,41336
37,362390,405.0,1742,8.37,2421,4300,1096,5827,3346,35389
27,356547,334.0,572,10.03,2387,5669,837,5062,3311,32876
72,334016,400.0,-546,7.57,2076,3438,625,3724,2743,25943
71,326136,363.0,-529,7.89,2677,4422,613,4454,3098,31223
84,333561,339.0,1610,10.47,3318,8339,1090,8135,4629,51910
80,345125,367.0,0,9.59,1912,3354,552,3684,2647,26579
51,347568,464.0,-546,8.62,2552,4118,731,4937,3085,31846
02,320971,296.0,-1544,8.69,1736,3435,405,3163,2341,22742
25,321372,351.0,1538,9.08,2576,3847,675,4453,2854,30460
50,293686,281.0,-956,8.07,2015,3221,434,3349,2496,24851
26,297170,413.0,3367,8.82,3318,5927,902,6004,3648,40346
21,321896,427.0,504,8.41,2326,4255,829,5967,2973,34412
66,273268,211.0,2702,9.47,2195,6184,793,5132,3563,39121
28,257799,288.0,-416,9.86,1753,3583,710,3768,2234,23378
86,257980,270.0,1240,7.65,1888,2998,535,3605,2350,23003
24,244245,185.0,-393,8.11,2437,4878,479,4154,2978,30334
73,259778,352.0,2046,10.47,2412,5655,813,6475,3581,44145
81,223818,205.0,1102,8.34,2584,3731,544,3559,2523,26094
40,241126,191.0,2683,8.85,2062,4070,519,4368,3002,29247
79,220344,274.0,357,7.36,1714,2746,440,2633,1771,19008
87,227035,218.0,-725,7.6,1683,2713,448,2952,2142,20524
11,214507,150.0,1400,8.33,1791,4269,445,3545,2579,27443
88,222375,226.0,-1775,7.41,2328,3399,416,2710,2124,21913
16,210639,237.0,-336,8.05,1991,3335,443,2929,2199,21697
03,199935,202.0,-1301,7.41,1541,2683,313,2450,1852,18869
41,193996,222.0,-317,8.19,1550,2561,360,2456,1701,17439
47,193901,174.0,-317,8.18,1848,3333,372,3165,2172,22123
89,198050,200.0,-963,8.33,1591,2876,383,2645,1833,18823
53,177052,250.0,0,6.93,1369,2026,313,2535,1447,14885
07,190019,146.0,1223,8.26,2111,3699,408,2795,2160,22640
18,183470,173.0,-1476,7.37,1412,2191,248,1990,1554,15073
10,182205,209.0,586,7.44,1442,2508,398,2385,1690,16893
61,164017,178.0,-1344,7.56,1378,2320,253,1887,1524,14351
12,161282,165.0,263,7.5,2112,3008,288,2497,1700,19071
08,167857,136.0,-1605,8.07,1388,2068,194,1573,1450,13671
39,152192,152.0,-246,8.09,1827,2363,298,2025,1509,16300
82,147855,114.0,1693,8.38,1176,2882,333,2456,1653,17006
19,140111,146.0,0,7.54,1456,2281,275,2066,1424,15158
70,140798,127.0,-675,7.57,1196,2040,170,1460,1146,12166
65,132817,120.0,216,8.56,1180,2480,251,2125,1639,16984
36,131041,136.0,-1498,7.08,1103,1567,204,1474,1160,11096
43,134560,124.0,215,7.0,1725,2218,257,1624,1239,14249
58,124723,114.0,-1815,7.58,945,1677,190,1422,1152,11039
32,109480,87.0,179,8.22,1288,2396,272,2089,1259,14328
55,112009,87.0,-1255,7.52,881,1305,120,1014,915,8567
52,106019,113.0,-1360,7.11,921,1196,133,917,868,8320
46,100188,75.0,0,8.01,1199,2124,236,1810,1220,12978
04,95287,57.0,308,9.16,1083,2275,269,2128,1376,14913
2B,103892,68.0,1622,10.64,1358,3492,360,2874,1450,19563
09,89247,61.0,143,8.14,1220,1851,185,1466,1100,11460
2A,92208,67.0,1444,11.96,1068,3658,343,3064,1445,19603
90,87034,99.0,-414,9.27,482,1049,157,1010,738,6986
15,86108,74.0,-411,7.11,856,1359,111,1027,693,8674
05,82789,64.0,265,9.04,984,1850,273,1685,1521,14866
23,69281,50.0,-672,7.04,729,1029,126,816,676,6625
48,43693,39.0,0,7.65,550,775,85,553,411,5062
